id,name,code,user_type_id/id,chart_template_id/id,group_id/id,reconcile
account_common_219,Altre immobilitzat tangible,219,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_219,False
account_common_220,Inversions en terrenys i béns naturals,220,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_220,False
account_common_221,Inversions en construccions,221,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_221,False
account_common_230,Adaptació de terrenys i béns naturals,230,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_230,False
account_common_231,Construccions en curs,231,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_231,False
account_common_232,Instal·lacions tècniques en muntatge,232,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_232,False
account_common_233,Maquinària en muntatge,233,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_233,False
account_common_237,Equips per processos d’informació en muntatge,237,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_237,False
account_common_238,Altre immobilitzat tangible en curs,238,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_238,False
account_common_239,Bestretes per immobilitzat tangible,239,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_239,False
account_common_241,Valors representatius de deute a llarg termini de parts vinculades,241,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_241,False
account_common_242,Crèdits a llarg termini a parts vinculades,242,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_242,False
account_common_250,Inversions financeres a llarg termini en instruments de patrimoni,250,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_250,False
account_common_251,Valors representatius de deute a llarg termini,251,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_251,False
account_common_252,Crèdits a llarg termini,252,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_252,False
account_common_253,Crèdits a llarg termini per alienació d’immobilitzat,253,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_253,False
account_common_254,Crèdits a llarg termini al personal,254,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_254,False
account_common_258,Imposicions a llarg termini,258,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_258,False
account_common_260,Fiances constituïdes a llarg termini,260,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_260,False
